Month,County,Tax Rate,Year Imposed,year,local.sales.tax.revenue,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,MIF Region
February,Goodhue,5.0000000000000001E-3,2019,2004,-,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
March,Goodhue,5.0000000000000001E-3,2019,2004,-,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
April,Goodhue,5.0000000000000001E-3,2019,2004,-,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
May,Goodhue,5.0000000000000001E-3,2019,2004,-,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
June,Goodhue,5.0000000000000001E-3,2019,2004,-,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
January,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
February,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
March,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
April,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
May,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
June,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
July,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
August,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
September,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
October,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
November,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
December,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
Total,Hennepin,5.0000000000000001E-3,2017,2004,-,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
January,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
February,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
March,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
April,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
May,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
June,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
July,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
August,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
September,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
October,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
November,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
December,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
Total,Hubbard,5.0000000000000001E-3,2015,2004,-,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
January,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
February,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
March,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
April,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
May,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
June,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
July,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
August,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
September,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
October,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
November,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
December,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
Total,Isanti,5.0000000000000001E-3,2019,2004,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
January,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
February,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
March,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
April,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
May,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
June,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
July,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
August,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
September,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
October,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
November,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
December,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
Total,Kanabec,5.0000000000000001E-3,2020,2004,-,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
January,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
February,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
March,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
April,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
May,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
June,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
July,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
August,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
September,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
October,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
November,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
December,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
Total,Kandiyohi,5.0000000000000001E-3,2018,2004,-,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
January,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,Lake,5.0000000000000001E-3,2017,2004,-,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
February,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
March,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
April,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
May,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
June,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
July,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
August,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
September,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
October,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
November,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
December,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
Total,Lyon,5.0000000000000001E-3,2015,2004,-,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
January,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
February,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
March,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
April,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
May,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
June,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
July,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
August,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
September,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
October,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
November,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
December,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
Total,McLeod,5.0000000000000001E-3,2020,2004,-,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
January,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
February,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
March,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
April,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
May,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
June,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
July,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
August,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
September,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
October,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
November,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
December,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
Total,Mille Lacs,5.0000000000000001E-3,2017,2004,-,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
January,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
February,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
March,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
April,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
May,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
June,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
July,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
August,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
September,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
October,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
November,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
December,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
Total,Morrison,5.0000000000000001E-3,2018,2004,-,097,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
January,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
February,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
March,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
April,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
May,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
June,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
July,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
August,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
September,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
October,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
November,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
December,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,Mower,5.0000000000000001E-3,2018,2004,-,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
January,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
February,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
March,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
April,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
May,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
June,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
July,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
August,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
September,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
October,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
November,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
December,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
Total,Nicollet,5.0000000000000001E-3,2018,2004,-,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
January,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
February,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
March,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
April,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
May,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
June,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
July,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
August,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
September,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
October,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
November,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
December,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
Total,Olmsted,0.25%/0.50%,2014/2017,2004,-,109,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
January,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
February,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
March,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
April,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
May,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
June,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
July,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
August,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
September,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
October,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
November,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
December,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
Total,Otter Tail,5.0000000000000001E-3,2016,2004,-,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
January,Pine,5.0000000000000001E-3,2017,2004,-,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
February,Pine,5.0000000000000001E-3,2017,2004,-,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
March,Pine,5.0000000000000001E-3,2017,2004,-,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
April,Pine,5.0000000000000001E-3,2017,2004,-,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
May,Pine,5.0000000000000001E-3,2017,2004,-,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
June,Pine,5.0000000000000001E-3,2017,2004,-,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
July,Pine,5.0000000000000001E-3,2017,2004,-,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
August,Pine,5.0000000000000001E-3,2017,2004,-,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
